,cars_name,cars_brand,model,model_year,car_type,kms,owner,gasoliene_type,price,emi_per_month,zero_downpayment
631,Maruti Alto 800,Maruti,LXI OPT ,2018,Manual,"10,430",1st,Petrol,"3,26,299","7,258/month",Zero downpayment
632,Tata TIGOR,Tata,XT  REVOTORQ ,2018,Manual,"18,989",2nd,Diesel,"5,03,499","11,200/month",Zero downpayment
633,Toyota Innova,Toyota,2.5 ZX 7 STR BS IV ,2013,Manual,"80,401",1st,Diesel,"9,31,099","20,712/month",Zero downpayment
634,Datsun Redi Go,Datsun,S 1.0 ,2017,Manual,"46,553",1st,Petrol,"2,70,299","6,013/month",Zero downpayment
635,Maruti Ciaz,Maruti,VXI PLUS ,2016,Manual,"64,507",1st,Petrol,"5,86,599","13,049/month",Zero downpayment
636,Maruti Swift,Maruti,ZXI ,2013,Manual,"23,695",1st,Petrol,"4,42,999","9,854/month",Zero downpayment
637,Maruti New  Wagon-R,Maruti,1.0 VXI (O) ,2019,Manual,"14,487",1st,Petrol,"5,81,599","12,937/month",Zero downpayment
638,Maruti Swift,Maruti,VXI ,2014,Manual,"37,353",1st,Petrol,"4,52,699","10,070/month",Zero downpayment
639,Maruti Baleno,Maruti,ZETA 1.2 K12 CVT ,2016,Automatic,"69,346",1st,Petrol,"7,12,999","15,860/month",Zero downpayment
640,Maruti Baleno,Maruti,LPHA 1.2 K12 ,2015,Manual,"61,210",1st,Petrol,"5,74,499","12,779/month",Zero downpayment
641,Maruti Baleno,Maruti,ZETA 1.2 K12 ,2015,Manual,"25,165",1st,Petrol,"5,80,899","12,922/month",Zero downpayment
642,Maruti Ertiga,Maruti,ZDI PLUS SHVS ,2017,Manual,"62,533",1st,Diesel,"8,63,999","19,219/month",Zero downpayment
643,Hyundai Elite i20,Hyundai,SPORTZ 1.2 ,2017,Manual,"24,964",1st,Petrol,"6,02,799","13,409/month",Zero downpayment
644,Honda WR-V,Honda,1.2 i-VTEC VX MT ,2017,Manual,"14,681",1st,Petrol,"7,81,399","17,382/month",Zero downpayment
