,cars_name,cars_brand,model,model_year,car_type,kms,owner,gasoliene_type,price,emi_per_month,zero_downpayment
40,Hyundai i10,Hyundai,SPORTZ 1.1 IRDE2 ,2014,Manual,"79,310",1st,Petrol,"27,199",278/month,Zero downpayment
41,Mercedes Benz E Class,Mercedes,E 250 CDI ELEGANCE ,2014,Automatic,"18,424",1st,Diesel,",50,899",",294/month",Zero downpayment
42,Maruti Vitara Brezza,Maruti,LXI ,2021,Manual,"1,053",1st,Petrol,"99,099",",776/month",Zero downpayment
43,Volkswagen Vento,Volkswagen,1.2 TSI HIGHLINE PLUS AT ,2017,Automatic,"36,058",1st,Petrol,"73,999",",442/month",Zero downpayment
44,Maruti Wagon R 1.0,Maruti,VXI ,2011,Manual,"78,423",1st,Petrol,"66,099",919/month,Zero downpayment
45,RENAULT Kiger,RENAULT,RXT 1.0 AMT ,2021,,"14,476",1st,Petrol,"51,599",",719/month",Zero downpayment
46,Tata ALTROZ,Tata,XE 1.2 ,2020,Manual,"12,025",1st,Petrol,"08,299",",531/month",Zero downpayment
47,Honda City,Honda,VX MT PETROL ,2017,Manual,"43,062",2nd,Petrol,"86,599",",497/month",Zero downpayment
48,Maruti Ertiga,Maruti,VXI ,2018,Manual,"63,676",1st,Petrol,"64,799",",013/month",Zero downpayment
49,Hyundai Elite i20,Hyundai,1.2 SPORTS PLUS VTVT ,2019,Manual,"10,592",1st,Petrol,"36,999",",394/month",Zero downpayment
50,Maruti Baleno,Maruti,DELTA 1.2 K12 ,2016,Manual,"54,535",1st,Petrol,"50,399",",243/month",Zero downpayment
51,Maruti S Cross,Maruti,ZETA SHVS ,2017,Manual,"1,05,493",1st,Diesel,"70,599",",917/month",Zero downpayment
52,Maruti Dzire,Maruti,VDI ,2017,Manual,"67,620",1st,Diesel,"75,999",",037/month",Zero downpayment
53,Honda Amaze,Honda,1.2 SMT I VTEC ,2018,Manual,"41,914",1st,Petrol,"96,299",",264/month",Zero downpayment
54,Ford Ecosport,Ford,1.5 TITANIUM TI VCT ,2015,Manual,"97,822",2nd,Petrol,"17,699",",516/month",Zero downpayment
55,Maruti Swift,Maruti,VXI ,2016,Manual,"26,707",1st,Petrol,"01,799",",162/month",Zero downpayment
56,KIA SELTOS,KIA,GTX 1.4 GDI AT PETROL ,2019,Automatic,"27,076",1st,Petrol,",62,699",",761/month",Zero downpayment
57,Honda WR-V,Honda,1.2 i-VTEC S MT ,2019,Manual,354,1st,Petrol,"94,499",",673/month",Zero downpayment
58,Maruti Dzire,Maruti,VXI ,2018,Manual,"9,305",1st,Petrol,"60,399",",690/month",Zero downpayment
59,Maruti Dzire,Maruti,VXI ,2018,Manual,"29,558",1st,Petrol,"87,799",",300/month",Zero downpayment
60,Hyundai Elite i20,Hyundai,STA 1.2 (O) ,2018,Manual,"29,767",2nd,Petrol,"74,199",",997/month",Zero downpayment
61,Honda City,Honda,ZX MT PETROL ,2020,Manual,"13,925",1st,Petrol,",71,599",",062/month",Zero downpayment
62,Maruti Dzire,Maruti,VDI ,2018,Manual,"29,119",1st,Diesel,"38,099",",419/month",Zero downpayment
63,Hyundai Creta,Hyundai,1.6 SX CRDI ,2019,Manual,"34,995",1st,Diesel,",02,599",",200/month",Zero downpayment
64,Maruti Swift,Maruti,VXI ,2019,Manual,"15,799",1st,Petrol,"82,099",",948/month",Zero downpayment
65,Hyundai Eon,Hyundai,ERA PLUS ,2017,Manual,"64,228",1st,Petrol,"89,399",438/month,Zero downpayment
